country,total_cases,new_cases,total_deaths,new_Deaths,total_recovered,new_recovered,active_cases,serious_cases,top_cases,deaths_cases,total_tests,tested_positive,population
USA,111820082,,1219487,,109814428,,786167,940,333985,3642,1186851502,3544901,334805269
India,45035393,,533570,,N/A,N/A,N/A,N/A,32016,379,935879495,665334,1406631776
France,40138560,,167642,,39970918,,0,,612013,2556,271490188,4139547,65584518
Germany,38828995,,183027,,38240600,,405368,N/A,462891,2182,122332384,1458359,83883596
Brazil,38743918,,711380,,36249161,,1783377,N/A,179908,3303,63776166,296146,215353593
S. Korea,34571873,,35934,,34535939,,0,,673523,700,15804065,307892,51329899
Japan,33803572,,74694,,N/A,N/A,N/A,N/A,269169,595,100414883,799578,125584838
Italy,26723249,,196487,,26361218,,165544,22,443445,3261,281126449,4665010,60262770
UK,24910387,,232112,,24678275,,0,N/A,363666,3389,522526476,7628357,68497907
Russia,24124215,,402756,,23545818,,175641,N/A,165454,2762,273400000,1875095,145805947
Turkey,17232066,,102174,,N/A,N/A,N/A,N/A,201399,1194,162743369,1902052,85561976
Spain,13914811,,121760,,13762417,,30634,231,297840,2606,471036328,10082298,46719142
Australia,11853144,,24414,,11820014,,8716,3,454687,937,81916639,3142326,26068792
Vietnam,11625195,,43206,,10640971,,941018,,117481,437,85826548,867342,98953541
Taiwan,10241523,,19005,,10222518,,0,,428720,796,30742304,1286903,23888595
Argentina,10128845,,130841,,9997258,,746,,220143,2844,35716069,776264,46010234
Netherlands,8635786,,22992,,8612599,,195,N/A,501747,1336,25984435,1509718,17211447
Mexico,7702809,,334958,,6899865,,467986,N/A,58549,2546,20013810,152124,131562772
Iran,7627186,,146811,,N/A,N/A,N/A,,88665,1707,57320267,666338,86022837
Indonesia,6829221,,162063,,6647104,,20054,N/A,24466,581,114158919,408975,279134505
Poland,6661991,,120598,,N/A,N/A,N/A,N/A,176524,3196,39323709,1041970,37739785
Colombia,6400173,,143200,,6212152,,44821,342,124244,2780,36951507,717327,51512762
Greece,6101379,,37869,,N/A,N/A,N/A,,591412,3671,102228365,9909078,10316637
Austria,6081287,,22542,,6054934,,3811,,670727,2486,211273524,23302116,9066710
Portugal,5643062,,28126,,5614809,,127,61,556484,2774,46139518,4549993,10140570
Ukraine,5557995,,112418,,5445577,,0,,128681,2603,32603805,754855,43192122
Chile,5384853,,64497,,5252450,,67906,7,279730,3350,50382097,2617225,19250195
Malaysia,5278406,,37348,,5233268,,7790,11,159079,1126,68580916,2066869,33181072
Canada,4946090,,59034,,4881312,350,5744,99,128843,1538,66572774,1734189,38388419
Belgium,4861695,,34376,,4826798,50,521,N/A,416659,2946,37454182,3209915,11668278
Israel,4841772,,12707,,4798473,,30592,N/A,519169,1363,41373364,4436346,9326000
DPRK,4772813,,74,,4772739,,0,,183636,3,,,25990679
Thailand,4770149,,34586,,4692636,,42927,N/A,68069,494,17273454,246488,70078203
Czechia,4759041,,43517,,4715206,,318,2,443246,4053,57834241,5386552,10736784
